src,dst,sport,dport,proto,duration,pkt_count,total_bytes,throughput_bps,avg_pkt,min_pkt,max_pkt,median_pkt,mean_iat,std_iat,up_down_ratio,app_proto
192.168.29.189,23.33.244.239,51472,443,IP,0.21562409400939941,8,951,35283.62651192568,118.875,0,371,0.0,0.030803442001342773,0.03007912480475469,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.012969017028808594,8,1756,1083196.9738951393,219.5,0,330,0.0,0.0018527167184012277,0.0013676005912257214,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.029793977737426758,8,2763,741894.8954987397,345.375,0,1494,0.0,0.004256282533918109,0.005482662586132606,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.004597902297973633,8,4038,7025812.622037853,504.75,0,1494,0.0,0.0006568431854248047,0.0009152113757393023,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.007666110992431641,8,2915,3041959.6093798596,364.375,0,963,0.0,0.0010951587132045201,0.0010293979401122299,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.05812191963195801,8,708,97450.32572677937,88.5,0,199,0.0,0.008303131375994002,0.010879414350356286,1.0,HTTPS
192.168.29.189,23.33.244.239,49187,443,IP,0.20759105682373047,8,908,34991.873499483176,113.5,0,345,0.0,0.029655865260532925,0.069748115903274,1.0,HTTPS
192.168.29.189,23.33.244.239,49187,443,IP,0.02526092529296875,8,5631,1783307.597704621,703.875,0,1292,0.0,0.00360870361328125,0.008805268537278175,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.15206003189086914,8,2475,130211.73120764646,309.375,0,962,0.0,0.02172286169869559,0.022573319815959694,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0052928924560546875,8,5277,7975979.174054054,659.625,0,1494,0.0,0.0007561274937220982,0.0018521265401086314,1.0,HTTPS
192.168.29.189,45.54.49.5,62893,443,IP,0.3034391403198242,8,6335,167018.66458817208,791.875,0,2974,0.0,0.043348448617117744,0.06822371763626997,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.03729104995727539,8,4398,943497.167291094,549.75,0,1494,0.0,0.005327292851039341,0.00869501789782948,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.022397994995117188,8,4561,1629074.388486758,570.125,0,1494,0.0,0.003199713570731027,0.004180582621551893,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.017047882080078125,8,6727,3156755.762810472,840.875,0,1494,0.0,0.0024354117257254465,0.005241635821713565,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.060973167419433594,8,2232,292850.1299131931,279.0,0,1262,0.0,0.008710452488490514,0.007405713906140614,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.000102996826171875,8,6688,519472317.6296296,836.0,0,1494,0.0,1.4713832310267857e-05,3.604138132103283e-05,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.020004987716674805,8,3218,1286879.070590058,402.25,0,1494,0.0,0.002857855388096401,0.003092762441283474,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.003509044647216797,8,6555,14944238.46718304,819.375,0,1494,0.0,0.0005012920924595424,0.000792655677474917,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.055856943130493164,8,2976,426231.7030915866,372.0,0,1494,0.0,0.007979563304356166,0.006676539513996153,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.0274198055267334,8,4449,1298039.8407749094,556.125,0,1494,0.0,0.003917115075247628,0.005966769145442208,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.02979111671447754,8,4600,1235267.558201884,575.0,0,1494,0.0,0.004255873816353934,0.006690317958092168,1.0,HTTPS
192.168.29.189,45.54.49.5,62893,443,IP,0.27646899223327637,8,2247,65019.949813512474,280.875,0,660,0.0,0.03949557031903948,0.06246461217188307,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.014520883560180664,8,7626,4201397.23227978,953.25,0,1494,0.0,0.0020744119371686664,0.004246028400951242,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.01530599594116211,8,6614,3456945.905604536,826.75,0,1494,0.0,0.002186570848737444,0.003925908827714382,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.1037750244140625,8,3075,237051.25716806352,384.375,0,1494,0.0,0.014825003487723214,0.026830258739825044,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.25358009338378906,8,3358,105938.91516295723,419.75,0,1494,0.0,0.03622572762625558,0.06735692725350145,1.0,HTTPS
192.168.29.189,23.33.244.239,51472,443,IP,0.012833118438720703,8,3092,1927512.7957492662,386.5,0,1494,0.0,0.0018333026341029576,0.002229255222932018,1.0,HTTPS
